Mã code,Tiêu đề,Ngày đăng,Quận/Huyện,Phường/Xã,Tổng giá,Giá theo m²,Diện tích,Số tầng,Số phòng ngủ,"Số phòng tắm, vệ sinh",Pháp lý,Nội thất,Mô tả
44964531,Nhà mặt phố tại đường Trần Quốc Vượng,02/05/2026,Cầu Giấy,"(Phường Cầu Giấy, Hà Nội mới)","69,9 tỷ","~665,71 triệu/m²",105 m²,8 tầng,34 phòng,35 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Khách sạn mặt phố - lô góc 3 thoáng - vỉa hè - kinh doanh đỉnh - trung tâm Cầu Giấy.
- Vị trí mặt phố Trần Quốc Vượng, khu lõi trung tâm Cầu Giấy, tuyến phố chuyên kinh doanh khách sạn và căn hộ dịch vụ.
- Lô góc 3 mặt thoáng vĩnh viễn, mặt tiền rộng 10.5M, vỉa hè lớn, ô tô dừng đỗ ngày đêm.
- Diện tích xây dựng mỗi tầng 131m², xây dựng 8 tầng thang máy, thiết kế chuẩn mô hình khách sạn - CHDV.
Công năng khai thác:
- Tầng 1: Lễ tân khách sạn, kinh doanh cafe, khu để xe.
- Tầng 2 - 7: Mỗi tầng 5 phòng khép kín, full nội thất.
- Tầng 8: 4 phòng khép kín + 1 phòng nhân viên.
- Tổng cộng 34 phòng khai thác.
Dòng tiền:
- Tổng dòng tiền thực tế ~330tr/tháng (~4 tỷ/năm).
- Phù hợp kinh doanh khách sạn, căn hộ dịch vụ cao cấp, văn phòng công ty, trung tâm đào tạo.
- Pháp lý rõ ràng, sổ đỏ đẹp, sẵn sàng giao dịch.
""Lắng nghe, thấu hiểu. Tư vấn có tâm"".
Tuấn Anh - Mr Dòng Tiền.
Zalo/Call:
0824 279 ***
.
(Thông tin có thể đã thay đổi - Anh chị vui lòng liên hệ để nhận cập nhật mới nhất)."
45019463,"Nhà biệt thự, liền kề tại GIA by KITA",17/03/2026,Tây Hồ,"(Phường Phú Thượng, Hà Nội mới)","60,5 tỷ","~403,33 triệu/m²",150 m²,4 tầng,5 phòng,NAN,Có sổ,NAN,"Bán biệt thự liền kề vườn Ciputra đi bộ ra siêu công viên 65ha sắp hoàn thiện, nhận nhà ngay - Hotline
0916 786 ***
.
Thông số biệt thự:
- DT 150m².
- Mặt tiền 7m.
- Xây dựng 1 hầm + 3 tầng nổi + 1 tum.
- Thiết kế 4 - 5 PN, công năng tối ưu.
- Hâm rộng thiết kế kho và phòng đa năng, có thể để được 2 - 3 ô tô.
- Hạ tầng giao thông: Đường - 17.5m vỉa hè 5m rộng thênh thang.
* Pháp lý bàn giao:
- Đã có số đỏ lâu dài.
- Nhà hoàn thiện, nhận bàn giao ở ngay.
Liên hệ Ms Thảo để được tư vấn và tham quan dự án
0916 786 ***
."
45428439,Nhà riêng tại đường Xuân La,15/04/2026,Tây Hồ,"(Phường Tây Hồ, Hà Nội mới)","26,8 tỷ","~402,4 triệu/m²","66,6 m²",8 tầng,12 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Với tiêu chí Giữ tiền + tạo dòng tiền đều mỗi tháng, lại toạ lạc ở khu vực luôn khát căn hộ cho thuê. Không cần setup mua là vận hành ngay = Căn này đáp ứng đủ các tiêu chí đó:
Thông tin chính:
Toà nhà 8 tầng thang máy
Thiết kế căn hộ dịch vụ full phòng khai thác
Số lượng phòng lớn tối ưu dòng tiền
Nhà xây còn mới vận hành ổn định
Phòng cháy chữa cháy:
Trang bị đầy đủ hệ thống PCCC
Đáp ứng tiêu chuẩn vận hành căn hộ dịch vụ
Dòng tiền thực tế:
~ 800 triệu/năm
Tỷ suất tốt trong phân khúc 2x tỷ
Khai thác ổn định khách thuê luôn kín
Tệp khách thuê:
Người đi làm, chuyên gia khu Ngoại Giao Đoàn
Khách thuê dài hạn nhu cầu cao, ít trống phòng
DT 66.6m², 26.8 tỷ
Chủ đang cần bán nhanh ưu tiên khách hiểu dòng tiền."
45348917,Nhà riêng tại đường Thanh Miến,24/04/2026,Đống Đa,"(Phường Văn Miếu-quốc Tử Giám, Hà Nội mới)",14 tỷ,"~353,54 triệu/m²","39,6 m²",5 tầng,3 phòng,NAN,Sổ đỏ/ Sổ hồng,NAN,"Siếu hiếm! Bán nhà đẹp - thang máy xịn - 20m ra oto - 5phút ra Lăng Bác - 1 bước ra Văn Miếu - lô góc thoáng vĩnh viễn - thông nhiều nơi.
- Vị trí đắc địa TT Đống Đa, cách chợ, bệnh viện, trường học, Văn Miếu, Lăng Bác 5 phút.
- Thiết kế hiện đại, đủ công năng, thang máy sịn sò.
- Sổ vuông cất két, ss giao dịch ngay.
* Ac liên hệ e Linh nhà thật để được tư vấn Nhanh và Chính xác nhất.
*
0963 881 ***
."
44092230,Nhà mặt phố tại đường Bưởi,27/04/2026,Ba Đình,"(Phường Ngọc Hà, Hà Nội mới)","11,9 tỷ","~457,69 triệu/m²",26 m²,6 tầng,NAN,NAN,Sổ đỏ/ Sổ hồng,Đầy đủ,"Chính chủ bán nhà mặt phố Bưởi trung tâm Quận Ba Đình (cách ngã 4 Đào Tấn chỉ 1 phút): CN 16,7m², nhưng thực tế xây 26m² - 6 tầng - MTR 3,6m - 3 mặt thoáng sáng sinh thái đẹp... - KDSU - ô tô được phép dừng đỗ 24/24, phố này hiếm nhà bán; Khu vực dân trí cao, hạ tầng an ninh sinh thái đều tốt, kinh doanh sầm uất - vỉa hè rộng, mặt tiền rộng minh đường thoáng sáng như vậy ít nhà có, tuyến đường ô tô được phép dừng đỗ 24/24, kết nối thuận tiện đi các quận trung tâm và Nội Bài Airport, phù hợp xây building đa năng =phù hợp làm cửa hàng kinh doanh cafe, thời trang (kết hợp ở).
+ Sổ đỏ chính chủ, thiện chí bán giao dịch nhanh - 11,9 tỷ.
+ LH xem nhà miễn phí 24/24: Mr Trần Phú -
0966 111 ***
.
+ Nhà đẹp tâm an - phước lộc vẹn toàn!
=============
Cam kết từ nhà môi giới:
1, Nguồn hàng đa dạng đặc biệt là phân khúc mặt phố, mặt hồ, ngõ sinh thái kinh doanh..., thông tin chính xác, giá tốt, làm việc chính chủ, pháp lý chuẩn...
2, Có nhiều năm kinh nghiệm môi giới trong lĩnh vực tư vấn mua bán nhà đất để ở, đầu tư hợp phong thủy gia trạch."
44474362,Nhà riêng tại phố Mai Anh Tuấn,04/05/2026,Đống Đa,"(Phường Ô Chợ Dừa, Hà Nội mới)",80 tỷ,"~695,65 triệu/m²",115 m²,9 tầng,NAN,NAN,Sổ đỏ/ Sổ hồng,NAN,"Bán nhà chính phố khu vực Hoàng Cầu - Mai Anh Tuấn, Đống Đa, Hà Nội.
Diện tích 115m² (CN 95m²) x mặt tiền 6.3m x 9 tầng.
Nhà có 2 thoáng, view hồ. Vỉa hè rộng, phù hợp kinh doanh nhiều mặt hàng. Khu vực dân cư đông đúc, dân trí cao.
Giá: 80 tỷ (thương lượng).
Liên hệ:
0964 229 ***
. MTG và QC."
45250353,Nhà riêng tại đường Phúc Lợi,23/04/2026,Long Biên,"(Phường Phúc Lợi, Hà Nội mới)","14,85 tỷ","~251,7 triệu/m²",59 m²,6 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,NAN,"- Diện tích 59m², MT=Hậu: 4,5m thoáng trước sau.
- Đi bộ ra chợ, trường học cấp 1,2,3 siêu thị chỉ cách 300m.
- Hàng xóm Vinhomes, Him Lam.
- Sổ đỏ chính chủ, Pháp lý rõ ràng.
- Giá 14,85 tỷ thương lượng.
- Liên hệ: Hoàng Hoát
0965 858 ***
chuyên nhà đất thổ cư Long Biên.
(Ảnh chuẩn, thông tin chính xác)."
45566086,Nhà riêng tại phố Giảng Võ,04/05/2026,Ba Đình,"(Phường Giảng Võ, Hà Nội mới)","8,7 tỷ","~212,2 triệu/m²",41 m²,6 tầng,4 phòng,NAN,Sổ đỏ,Đầy đủ,"Nhanh thì kịp! Nhà dân xây thang máy, ngõ thông, gần đường Đê La Thành mở rộng, tương lai rạng ngời, thoáng sang, full nội thất, ở ngay.
- Diện tích 41m², 6 tầng, 4 ngủ, lô góc, giá 8.7 tỷ (có thương lượng).
- Vị trí đắc địa, nằm trong lõi Vành Đai 1, Tự hào cư dân Ba Đình, gần Vin Giảng Võ cả tỉ/m, gần Đài Truyền Hình VTV. Vài tháng nữa đường Đê La Thành mở rộng xong, giá trị căn nhà tăng gấp nhiều lần. Khu vực an sinh văn minh, đẳng cấp, mặt ngõ thông kết nối Đê La Thành, Giảng Võ, Ngọc Khánh, Nguyễn Chí Thanh, thông tứ tung. Đi bộ vài bước chân ra chợ, vài phút ra Hồ Giảng Võ thể dục, mát mẻ quanh năm. Nhà thoáng, mặt tiền rộng đẹp, mỗi phòng 3 - 4 cửa sổ, thoáng mát, ánh sáng tràn ngập.
- Thiết kế hiện đại, tối ưu công năng: 4 ngủ, phù hợp gia đình ở lâu dài.
- Sổ đỏ pháp lý chuẩn, vuông đẹp, sẵn sàng giao dịch.
- Liên hệ Mr Tú:
0974 576 ***
để qua xem nhà ngay và hỗ trợ tư vấn miễn phí."
45079580,Nhà mặt phố tại đường Đàm Quang Trung,06/05/2026,Long Biên,"(Phường Long Biên, Hà Nội mới)","30,8 tỷ","~433,8 triệu/m²",71 m²,8 tầng,NAN,NAN,Sổ chính chủ,Đầy đủ,"Thiết kế hiện đại phong cách Châu Âu.
Thông số vàng.
DT: 71m² - MT: 5m.
Vị trí mặt phố sầm uất, cạnh Aeon Mall Long Biên. Đón đầu cầu Trần Hưng Đạo, khu vực tăng trưởng mạnh. Kết nối nhanh Cổ Linh Hồng Tiến Vinhomes Riverside Sài Đồng.
Công năng:
* T1: Gara 2 ô tô + thông sàn kinh doanh.
* T23: Phòng ngủ master (linh hoạt công năng).
* T45: Duplex khách + bếp + ngủ.
* T6: Master cao cấp.
* T7: Phòng thờ, làm việc.
* Tum: Vườn view sân phơi.
Sổ chính chủ cất két, sẵn giao ngay.
Liên hệ Hoàng Hoát
0965 858 ***
chuyên nhà đất thổ cư Long Biên."
45305725,Căn hộ chung cư tại Chung cư Newtatco,15/03/2026,Ba Đình,"(Phường Ngọc Hà, Hà Nội mới)","7,1 tỷ","~99,58 triệu/m²","71,3 m²",NAN,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Căn hộ chung cư ngõ 462, Chung cư Newtatco, Đường Bưởi, Phường Ngọc Hà, Hà Nội (địa chỉ cũ: Quận Ba Đình, Hà Nội) được thiết kế hiện đại với 2PN + 1WC, diện tích 71,3m², giá 7,1 tỷ VND. Nội thất đầy đủ với điều hòa, tủ lạnh mang đến sự tiaện nghi và thoải mái cho cư dân. Phong thủy tốt, tạo không gian sống lý tưởng.
Chi tiết dự án:
Chung cư Newtatco do Công ty 319 - Bộ Quốc phòng đầu tư, gồm 9 tầng với 100 căn hộ, diện tích từ 65,6-76,3m². Dự án cung cấp đầy đủ tiện ích như bảo vệ 24/7, trông xe, thang máy hiện đại, sảnh chung rộng rãi, ban công thoáng mát, vệ sinh nóng lạnh, khu bếp tiện dụng, truyền hình cáp, Internet, ADSL.
Gần các tiện ích xung quanh như công viên, chợ dân sinh, bệnh viện phổi, bệnh viện 354.
Liên hệ Hiếu
0325 240 ***
."
